Message,Being
"Man, I joined this group about a month after this group was created when we were just under 100k members! It sure warms my soul to see how far the walkaway campaign has come since then! I pray the demoncrats don’t get their way and cheat to win by mail in ballot voting! God bless America, and God bless you all! #Trump2020 🥰 🇺🇸🇺🇸🇺🇸",NA
"🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸 Born and raised in a conservative Christian home... Always voted Republican... but 2016 didn’t set well with me. The “choice” of candidates was frustrating and caused me to feel limited! WHY would a daughter of a devout Christian .. with two sisters, vote for a man that spoke so terrible ABOUT and TO women?! WHY would my Dad (father of 3 daughters, brother of 3 sisters, grandfather of 4 granddaughters, Uncle to 5 nieces) vote for this man?! Based on what I was forcefed for a solid year... the protest against Donald J Trump ... the solid efforts of the conjoined media... I had been persuaded and thought my Dad had left his beliefs behind... and I voted for Gary Johnson. (Killary was NEVER an option) Once the Plandemic hit... I had some free time on my hands to really dig into DJT and what he’d been doing these last few years. I watched my first COVID briefing and then saw the media posts. Hmmm... I watched a few more briefings and then media posts. That’s when a light came on and I realized I had been fed a TON OF LIES about our President. I am here to tell you - God has placed DJT in this position at this very time to help America stand up! I am going to #WalkAway from the media and lies I missed the train 4 years ago... But REFUSE to miss it this year #Trump2020 🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸",1
"I am a #WalkWith. I have always been on the side right. So far, I have seen nothing but narcissistic behavior from the left. They want to crucify republicans for exactly the same thing democrats are doing. Democrats are doing things to stir the pot then blame it on the Republicans. Any small amount of research shows just how true this is. What gets me is how I can watch a news conference and not five minutes later, the media is saying exactly the opposite of what was said or telling us something happened that didn't. I know I am not the only one who sees this happening and I am so grateful for this group because I have friends that are so far gone and drank so much of the Kool-Aid, I can't even begin to think about how to bring them back. It doesn't mean I don't love them any less... It just gives me less I can talk to them about.",1
"American from Massachusetts (mixed race) currently living in Victoria, Australia. Actually, I should say stuck in Victoria, Australia, as my Leftist state is holding us all captive! I am not allowed to leave my neighbourhood, let alone the country. I feel compelled to write this walkaway story to warn everyone in America of what could happen if they let the Democrats take power of the Whitehouse again. Victoria is the most Leftist state in all of Australia. Our COVID-19 response has been disastrous under this Leftist state government regime. RT recently wrote an article about how we have the strictest lockdown in the world! I can confirm that is true! We have had about 247 deaths nationwide (to date), all mainly within nursing homes. The Premier of Victoria decided that we are now in 'A state of Disaster' and enforced a stricter lockdown on us. BTW, this is only happening in Victoria, not the rest of Australia. We have been in Stage 3 Lockdown for 5 straight months. A few days ago, they put us into Stage 4 for an additional 2+ months. We don't really know if it will end there, as the Premier is threatening Stage 5 if this Stage 4 is not successful. We don't really know what that means, but he said it would ""radically change the way we live"". Basically, we are all under house arrest - Police have the right to enter your home without a warrant. We have curfews and can only leave our homes once a day, for one hour (although they do not want you leaving your house at all!). Masks are mandatory outdoors and indoors. Nearly every business is closed, so millions of people have been unemployed for the length of this Lockdown. We have been told there will be meat shortages soon, as more businesses were forced to close as per the restrictions of this Stage 4. We are not allowed to leave our suburbs and we are not allowed to see friends or family. This is inhumane! And now, here is the kicker... Our Premier announced that our lives will NOT go back to normal until EVERY Victorian gets the new vaccine they are working on for COVID-19! Yes, you heard that right. We cannot get out of lockdown until we get a vaccine for a virus with a 99.98% survival rate! I do not want to be forced into being injected with a rushed vaccine that has not been tested. We are clearly the guinea pigs of some very sinister plans. This is not normal! Australia does not have a Bill of Rights like America. We have been easily controlled and whipped into submission with the threat of this virus. Please share this story! People need to understand what is happening here. We cannot allow these maniacs to implement this agenda. This affects us all, not just Victoria!",NA
No need to welcome me as I have already shared my story before.... I just want to say I just LOVE this group and so very glad I joined. I have read so many stories you all have shared today and it gives me such hope for our country. I am so grateful there is so many that feel the way my husband and I do. Jim has always been a walk with and I am a walk away. So so glad my eyes were opened with Obama. I am grateful to live in America and have a president who truly loves this nation and works so hard for our behalf. Trump2020!! We all have to get out and vote. It's a scary thing to think what would happen if we don't elect Trump to serve another 4 years. Feel free to friend request me if you want to be friends with someone who is now a Republican and proud of it!! Let me know you are from WalkAway.,NA
"My grandfather was a Democrat. He was a precinct committeeman that would drive you to the polls and give you whiskey out of his trunk after you voted. That's how it was in those days. I've always been a moderate. Leaning more to the right, for sure, but willing to listen and hear the other side. I find the Left today so far left I can't even make sense of it in my head. Yes, I voted for Ross Perot, because I believed he was what our country needed. And it split the Republican vote. I again voted my heart for Trump. Not because he was perfect, bit because he wasn't a politician and I believed that's what my country needed. I still believe that today.",1
"I’ve watched all your amazing posts since joining This group. You all are very inspiring ❤️When I was younger I considered myself more liberal. Then I had children and I really started looking at the issues. And I woke up!!! I would like to introduce my family we are a blended family we have five children together. The 2016 election brought my significant other and I together￼. We bonded over our middle of the road feelings on politics and too much￼government involvement￼. I posted something very peaceful the day after the election. I was blasted and told that I didn’t understand called names and threatened. ￼Both my parents are gone And I had a very toxic marriage that I had to leave.￼ I had done everything on my own for my kids and myself ￼ until Eddie and United. ￼￼ so I do understand what it’s like to struggle and I do understand what it’s like to only have myself to rely on. I’ve never taken government help. I have worked hard, sometimes several jobs. I feel it is my job as their mom to take care of them and make the best decisions for their futures..... not the governments job.￼￼ I cannot be open on my Facebook with who I support. I feel like I have to hide my true feelings constantly. I worry about losing my job if they know that I am a conservative. My guy is a hard worker and our kids are amazing. I am fighting for a future for them. I have a hard time with the double standard we’re living in. I have never seen a time in history when we cannot openly admit to who we support without fear of something bad happening. We are far from perfect but we are doing our best for our family. I didn’t have kids thinking the government would be in control I had kids because I wanted to raise future responsible adults that love their country and respect those who stand to keep us a Free country. As Americans we are very privileged and we can’t even see it. I see the privilege it is to be an American and I remind my kids daily of how lucky to live where we do. I pray those freedoms continue. Trump has my full support he cares about the American people and it’s clear as he has done all he said he would do if not more. Thank you for allowing me to share and God-bless our amazing country and all of you! I think the thing about America that’s most beautiful is the differences that we all have but being able to come together for the greater good.￼￼",0
When I was 18 I registered as a Republican. At the time I just chose the party not really having a reason. The first president I voted for was Ronald Reagan. I believed in him and his message. Since that time seeing the candidates the Democrats have chosen to run and listening to their rhetoric I now understand the choice I made at 18 really fits my beliefs. I am not far right. I am more in the middle between the middle and the right. However I know I definitely do not believe in the things the left pushes. I am a proud not rich Republican and I love having President Trump in office.,1
"Hello everyone. I’m Ashley, and I’m pretty sure this is my first ever “campaign” I’ve involved myself in... so that speaks volumes to how I view this movement. I’m a proud Christian, conservative, Pro-Life American (triple punch to the leftist side). I grew up in a republican household, but I truly understand now what it means to be a true Patriot in America. It’s not just a title, it’s a lifestyle I’m learning more and more about. I refuse to sit down and remain completely quiet as they want me to do. Because of my values, I have recently been called bigot, homophobic, xenophobic, “Karen”, and my favorite, I was told to “Go back to your KKK troop meeting” after I told someone I wouldn’t kneel for anyone except God. Well, I serve someone much higher and will continue to do so. God never promised a persecution-free life; I will continue to serve Him and speak truth. God Bless America, praying for our President!",1
"#WalkAway more like ran away. I also has a conservative mindset but grew up in Chicago voting Democrat. Last time I did that was when Obama ran the first time. Started seeing the do as we say mentality from the left, even talking to a liberal is so hard to do. I am a Assyrian, my family is from Iraq so I am first generation Assyrian-American. We are the indigenous people of Mesopotamia and Christian. We already seen the tearing down of status, taking over parts of cities, burning and defacing churches and buildings, their name was ISIS. This is exactly what I'm seeing from the left. NEVER GOING BACK!",0
"I have been a democratic my whole life, but I haven't really trusted the government or media for most of it. I've been studying things like MK-Ultra since I was a teenager. I only recently switched over to becoming a Trump supporter because I started actually researching what's going on in the world after COVID-19 hit. Now I have a much better understanding of what is happening in our world. Thanks for adding me.",0
"I'm a teacher, and aren't teachers always Democrats? I was, for many years. Socially aware of people in need, wanting to help when I can. About 10 years ago I started to wake up to the fact that the Democratic party was changing. Had changed drastically. That I had been changing along with it. An insidious cancer slowly growing and taking hold. I woke up and realized they now did not represent what I believed in. The change had been slow and I had followed along like a sheep. I have to say my husband opened my eyes and I have been a registered Republican and a conservative at heart ever since. My heart breaks for this country, MY country, OUR COUNTRY. We must take it back and educate. After all, that's what teachers do.",0
"I come from a long line of politicians from Robert Treat Paine to my paternal grandfather who was a republican house representative. I’ve always been a little rebellious so I refused to identify as either party. My grandfather died right before my 9th bday and later in life I realized I remember every word he ever said to me and most of it was political or related to politics in some way I didn’t understand at the time. I learned about the New World Order before I learned about Adam and Eve. Papaw always told me I would be the attorney and the politician in the family. I watched my aunt get so deep into what could possibly happen in our country (and world) at some point that she alienated everybody in her life and she rarely leaves her house. She lives in a world of fear, depression, and anger. I saw my dad going down a similar path but I was able to step in before it got too bad. I swore I wanted no part of politics. I have been silent about politics my entire life and refused to have a conversation about it. I always kept up with it though. In 2016 it became harder to be quiet. I had a life long friend that posted “if you support Trump just delete me,” so even though she had no idea who I voted for, I deleted her for the lack of her acceptance of free speech and choice. I also had a good friend that I worked with that was a hardcore Democrat. We were opposite in every way but we respected each other. When Trump won he missed a half day at work. He came in, went to the office of the owner of this large corporation (who is a huge Trump fan), said something very ugly about the election, and an hour later.... well let’s just say he was offered a comfortable severance to leave his 20yr job. I realized then the trend in attitudes from the Democrats I knew. I am the mother to 4 half black daughters so I am expected to think a certain way, my children are expected to think a certain way. We don’t!! I love my country to the point that I have a flag on my fridge so my boys can say the pledge every morning before we homeschool. I still cry every time I’m at a game and hear the National Anthem. Both of my grandfathers fought for our country. My dad fought for our country. I could keep this list going for a while. I have raised my daughters to value the opportunities being American has given us all. They have never liked being set apart. There was a group here that awarded black children every time they got a report card if they had certain grades. My girls got invitations every 9 weeks to come to the dinner they had for the kids and they would throw them away because “they didn’t want to be rewarded because of their skin color.” I always encouraged them to go if they wanted to. They will quickly tell you they don’t feel like they’ve had less opportunity or that their opportunities have been made more difficult than their white friends. They have a crap ton of student loan debt like everybody else, that doesn’t discriminate 😂. Have we had instances of racism, of course. My daughter was ostracized from a comp class in college after being told she “wasn’t black enough” because they didn’t like her more conservative views. I lived in a suburb (not a nice one) right outside Chicago and there we received more racism from the black community. We aren’t denying it exists, it’s just how we allow it to affect our lives, we don’t. This election period I have had to delete half of my friends on fb, some I’ve know my whole life. I’ve been told I’m a crappy mom and raised my kids “too white” 🤷‍♀️, I’m racist, I’m a bigot, I’m an embarrassment, I should be ashamed, I forced my children to think like me (not true at all. I’ve always encouraged they do their own research), etc. I’ve even been told my daughter who is pregnant is naming her baby a name that’s “too white,” she’s naming him after her dad. My 7yr old niece and I were in a store and I spoke to an acquaintance, the woman responded with “racist b****.” That’s how far this has gotten for me. This is not the country I want my grandchildren to be raised in. This isn’t what soldiers put their lives on the line for. After the realizations I had from the 2016 elections (I did vote for Trump) and everything that has happened during this one with my peers, the Democratic Party, BLM, ANTIFA, and the media, I can now say I am a die hard #walkwith republican!!! Trump/Pence 2020 🇺🇸🇺🇸🇺🇸",1
"I just want to say WELCOME! To anyone who decided to #walkaway from the disgusting, evil and vial Democratic Party. Weather you came to the conservative side or not I want to say welcome! You are now amongst people who will support you and defend you when that ugly nasty side shows their colors and attacks you. The free thinking side will always defend its flock!!! I know it took a lot of internal strength to walk away. I was raised blue collar democrat until my father and I both sat and said something is twisted and not right! When Obama came on scene! I lost a few life long friends and some family when I became more vocal about the wrong doings of the Democratic Party. You are safe here so thank you for my request #walkaway to be apart of this group and be a support system for some who may have lost it all walking away!",NA
Being 38 years old a union carpenter in chicago always told to vote Democrat never voted but I will be voting Republican and vote for the first time it's not about union anymore it's about what's best for the country and the people,NA
"Hello everyone! I'm a #WalkWith. All my life I have been a Republican Conservative. At first the news did not really appeal to me. However, when I started taking History and World History, I became more interested. For years I have been doing my research and never once voted Democrat. I almost did with Obama until I heard two words that gave me the most concern. Those words? ""Fundamentally Change."" Change yes, but to fundamentally change? That made me nervous. I voted against him both times. Trump wasn't even my first choice come 2016, Ben Carson was. I liked how he was soft spoken, intelligent, and worked on the front lines in medical care. However, when it came time to vote, I voted Trump. Digging more in to the Democratic party only left me more uneasy. I remembered back even before the Clintons when gun laws were starting to be put in place I felt it was a slippery slope. Some I agreed with, others, not so much. Now its just ridiculous. When they started with the ""political correctness"" I also knew that was going to be a very slippery slope. So forgive me if I'm not exactly politically correct. I have never had issues with the LGBT+ community, nor with the Black communities, or anything of that nature. Yet even though I treat others as I wanted to be treated, with dignity, respect, and an open mind, I was being called racist, homophobic, misogynist, and everything else you could possibly come up with. Thankfully through school, where even there I was severely bullied, it made me get a tough skin. Hardly anything offends me. I love a good debate, to discuss issues, to hear other points of views. As the culture grew worse and me being often times left to fend for myself against others, I had to ask ""why would I want to stop talking about my point of view?"" when it came to being off the clock at work in the break room? I couldn't believe I was told, ""don't talk about that"" when I brought up a valid point. Under Obama, I lost the healthcare that I had been with and liked to something I hated, and had to pay more for. I knew then things were only going to get worse. At first, it was little things. ""Say disabled instead of handicapped"". ""say African-American instead of Black."" ""This is now a gun-free zone"". I was grateful for the cop that came to the school, in fact I remember his name, Officer Burt. It was my first interaction with a cop outside of home when my father worked as a Corrections Officer in Washington State. He also taught Martial Arts and though he didn't have to, he taught me the simple punch which I will always be grateful for. Now to see those cops being belittled, defunded, disbanded, and more, I want to cringe. I want to say NO MORE. I wanted to give both sides in 2016 the opportunity to speak to me. It was there I met a gentleman at the rally, an older white man, and he was extremely enthusiastic. I asked where he came from, he said Texas. As we got to talking just a simple conversation about military, and such like that, he stated that he felt the Democrats had betrayed him. His words, not mine. I was so happy to see his enthusiasm and a group of us just started talking with him, in a welcoming, open way. We laughed, we joked, we talked serious issues, and we spoke of both sides of the aisle. Some anti-Trump people were there, and we let them be. The only thing we asked of them was to ""please put the American flag higher than the Hillary flag out of respect of the flag and those of us who have fought for your freedoms."" Simple request, and they did. We told them thank you and went on with conversation. It was a very contagious time. Then Secret Service came up to us in the line. I asked about those that served not as soldiers but also as First Responders? I had been a Firefighter for 6 years from 98 - 04. Nothing is ever really done for those that have been on the front lines here at home, but almost everything for those veterans that fought for our country. Do not get me wrong, my father was in in the Vietnam War so I appreciate the service of those brave people. However, I had run in to burning buildings, had to witness things most don't or are shielded from. So I had asked simply ""what about First Responders?"" The man nodded and said, ""I'll be right back"". When he returned, he pulled me, and the vets around me out of line and told us to go up to the front and checked the line for any others. We were literally taken 15 feet from our now President and told, ""If anything happens, you all are on our front line."" They gave us a briefing and we took it to heart. We had sworn the same oath after all, uphold the Constitution and defend it against all threats foreign and domestic. I have never been relieved of that oath. However, standing in front of President Trump, I listened to my gut. My gut told me that he was a decent man, no not perfect, but that he meant what he was saying. Hillary never shown up. I dug into her more, and the more I found, the more disgusted I was. I kept (truncated)",1
"I'm a lifelong conservative, grew up watching President Reagan run the country. I voted for President Trump the first go around and intend to do the same this time around. I just wanted to say I admire the folks that have walked away from the Democrat party.... Props to all the patriots and God bless America 🇺🇸",1
I was born in New York Puerto Rican parent I always lived in the project my teacher we're horrible I didn't know how to read until I was 10 I walkway from the left at 50 years old this year I had to catch up and educated my self on how great this country is🇵🇷🇨🇺🇺🇸💯💪🏽,NA
I love seeing all these stories. I grew up a Democrat and voted Democrat since i could vote (2000) was my first presidential vote. Late in the last term of Obama i started to see things i didn't see before that wasn't right with me. In 2016 i made up my mind. I was changing parties and i don't regret it one bit. I am proud of our president and what he has done and continues to do for our country.,0
"I was a democrat for several years and was in Obama's camp for eight years. I didn't like Hillary though and I didn't like Trump in 2016. I voted for Gary Johnson, a third-party candidate and it wasn't a wasted vote because Trump won the state of North Carolina by 173,000+ votes over Hillary. Well, I still don't like Trump but I am going to vote for him this time. Why? Because the 2018 mid-term election opened my eyes to the dangers of socialism taking over this country. We can't let Joe Biden win the election! I don't believe socialism will take over if Biden wins, but a Biden victory will bring us one step closer and make it easier for a socialist government to take over years from now. Right now I am more worried about democrats taking over both chambers of Congress than I am about Biden winning. I am still a liberal, but I will be voting Trump in November!",0
